Name,Estado,Cidade,Segmento,Público Alvo,Modelo de Receita,Ano de Fundação,Tamanho,Mais Informação,Momento
UAI PAGUEI,MG,NOVA LIMA,Advertising,B2B2C,Marketplace,2016,21-50,sbase.me/s/uai-paguei,Tração
CliniQ,MG,POUSO ALEGRE,S/N,B2B2C,S/N,(Não informado),6-10,sbase.me/s/cliniq,Operação
Next One,MG,CLÁUDIO,S/N,B2B2C,S/N,2015,6-10,sbase.me/s/next-one,Tração
Tocclic,MG,BELO HORIZONTE,Internet,B2S,E-commerce,2007,6-10,sbase.me/s/tocclic,Tração
Markkit,MG,MONTES CLAROS,Advertising,B2B,Marketplace,2017,1-5,sbase.me/s/markkit,Ideação
j8 Soluções Mobile,MG,PEDRALVA,S/N,B2B,S/N,2017,1-5,sbase.me/s/j8-solucoes-mobile,Ideação
inforsaude,MG,UBERLÂNDIA,Saúde e Bem-estar,B2B2C,Consumer,2014,6-10,sbase.me/s/inforsaude,Tração
enercred,MG,NOVA LIMA,S/N,B2C,S/N,2017,6-10,sbase.me/s/enercred,Operação
Sensix Soluções em Drones,MG,TRÊS CORAÇÕES,Advertising,B2B,Marketplace,2015,6-10,sbase.me/s/sensix-solucoes-em-drones,Operação
Horta Mágica ®,MG,UBERLÂNDIA,S/N,B2B2C,S/N,2015,1-5,sbase.me/s/horta-magica-r,Ideação
Mais Fácil,MG,BELO HORIZONTE,Finanças,B2B2C,Consumer,2008,6-10,sbase.me/s/mais-facil,Tração
SIMplifica,MG,BELO HORIZONTE,S/N,B2B,S/N,2016,1-5,sbase.me/s/simplifica,Ideação
Escoola,RJ,RIO DE JANEIRO,Advertising,B2B,Marketplace,(Não informado),1-5,sbase.me/s/escoola,Ideação
garagethinking,RJ,MIRACEMA,Gestão,B2B2C,SaaS,2018,1-5,sbase.me/s/garagethinking,Operação
Binaria Arte Contemporânea,RJ,VOLTA REDONDA,Internet,B2B2C,Consumer,2018,1-5,sbase.me/s/binaria-arte-contemporanea,Operação
Constructweb - Gestão eficiente de reformas,RJ,RIO DE JANEIRO,Construção Civil,B2B,SaaS,2015,6-10,sbase.me/s/constructweb-gestao-eficiente-de-reformas,Operação
Kotação,RJ,VOLTA REDONDA,Varejo / Atacado,B2B,SaaS,2016,21-50,sbase.me/s/kotacao,Tração
Visceral Design,RJ,MACAÉ,Outros,B2B,Outros,2015,6-10,sbase.me/s/visceral-design,Tração
Mozaic,RJ,VOLTA REDONDA,Entretenimento,B2B2C,Consumer,2019,11-20,sbase.me/s/mozaic,Operação
FOOD FREEDOM,RJ,RIO DE JANEIRO,Mobile,B2B2C,Consumer,2017,6-10,sbase.me/s/food-freedom,Operação
Nename,RJ,VOLTA REDONDA,Casa e Família,B2B2C,Consumer,2019,11-20,sbase.me/s/nename,Operação
Nextale,RJ,VOLTA REDONDA,Educação,B2B2C,Outros,2017,6-10,sbase.me/s/nextale,Operação
BeerGO,RJ,NOVA FRIBURGO,Entretenimento,B2B,SaaS,2018,11-20,sbase.me/s/beergo,Operação
Octopo,RJ,RIO DE JANEIRO,Outros,B2B,SaaS,2017,21-50,sbase.me/s/octopo,Tração
VM9,RJ,NITERÓI,Indústria,B2B,SaaS,2011,6-10,sbase.me/s/vm9,Tração
Flying to the sun,RJ,RIO DE JANEIRO,Energia,B2B,Hardware,2017,6-10,sbase.me/s/flying-to-the-sun,Tração
Metha Soluções,RJ,RIO DE JANEIRO,Gestão,B2B,SaaS,1989,6-10,sbase.me/s/metha-solucoes,Tração
N2N Virtual,RJ,RIO DE JANEIRO,Varejo / Atacado,B2B,SaaS,2013,6-10,sbase.me/s/n2n-virtual,Tração
Overless,RJ,RIO DE JANEIRO,Games,B2C,Outros,2018,6-10,sbase.me/s/overless,Operação
Ensino+O2,RJ,NITERÓI,Educação,B2C,SaaS,2014,101-200,sbase.me/s/ensinoo2,Tração
Real Valor,RJ,SÃO PEDRO DA ALDEIA,Finanças,B2C,Consumer,2016,6-10,sbase.me/s/real-valor,Tração
Solar Fintec,RJ,MACAÉ,Big Data,B2B,Licenciamento,2018,6-10,sbase.me/s/solar-fintec,Tração
conta1,RJ,BARRA MANSA,E-commerce,B2C,SaaS,2018,6-10,sbase.me/s/conta1,Operação
Sourbano,RJ,RIO DE JANEIRO,Transportes,B2B2C,SaaS,2019,6-10,sbase.me/s/sourbano,Operação
BioSolvit,RJ,VOLTA REDONDA,Energia,B2C,Hardware,2013,6-10,sbase.me/s/biosolvit,Tração
BemAssegurado,RJ,RIO DE JANEIRO,Seguros,B2B2C,Marketplace,2018,6-10,sbase.me/s/bemassegurado,Tração
Modaly,RJ,RIO DE JANEIRO,Moda e Beleza,B2B,Marketplace,2016,6-10,sbase.me/s/modaly,Operação
Economapas,RJ,RIO DE JANEIRO,Big Data,B2B2C,SaaS,2017,6-10,sbase.me/s/economapas,Tração
sling capital,RJ,RIO DE JANEIRO,Finanças,B2B,Outros,2017,6-10,sbase.me/s/sling-capital,Tração
DeliveryMine,RJ,RIO DE JANEIRO,Produtos de Consumo,B2B2C,Marketplace,2017,6-10,sbase.me/s/deliverymine,Operação
Riverdata,RJ,PETRÓPOLIS,Big Data,B2B,Outros,2020,1-5,sbase.me/s/riverdata,Tração
StudioXR,RJ,RIO DE JANEIRO,Desenvolvimento de Software,B2B,Consumer,2007,1-5,sbase.me/s/studioxr,Tração
Kombucharia Experiências do Chá,RJ,RIO DE JANEIRO,Produtos de Consumo,B2B,Outros,2018,1-5,sbase.me/s/kombucharia-experiencias-do-cha,Operação
Rupx,RJ,NOVA IGUAÇU,Varejo / Atacado,B2B,SaaS,2020,1-5,sbase.me/s/rupx,Ideação
Pamela,RJ,QUEIMADOS,Produtos de Consumo,B2B2C,E-commerce,2019,1-5,sbase.me/s/pamela,Operação
H-Engsoft Consultoria,RJ,RIO DE JANEIRO,TIC e Telecom,B2B,SaaS,2017,6-10,sbase.me/s/h-engsoft-consultoria,Operação
Agência KLS,RJ,RIO DE JANEIRO,Comunicação e Mídia,B2B,Outros,2018,1-5,sbase.me/s/agencia-kls,Operação
InHands,RJ,MACAÉ,Direito,B2B,Outros,2016,6-10,sbase.me/s/inhands,Tração
Karla Cristina Freitas da Costa,RJ,VOLTA REDONDA,Saúde e Bem-estar,B2B,Outros,2020,1-5,sbase.me/s/karla-cristina-freitas-da-costa,Operação
ACV Solutions,RJ,RIO DE JANEIRO,Advertising,B2B2C,Marketplace,2018,1-5,sbase.me/s/acv-solutions,Operação
Agilliza,RJ,BARRA MANSA,Eventos e Turismo,B2B2C,Consumer,2019,11-20,sbase.me/s/agilliza,Operação
LP Goulart Engenharia,RJ,RIO DE JANEIRO,Energia,B2B,Outros,2017,1-5,sbase.me/s/lp-goulart-engenharia,Operação
NeoProj Soluções Tecnológica,RJ,RIO DE JANEIRO,Desenvolvimento de Software,B2C,SaaS,2018,1-5,sbase.me/s/neoproj-solucoes-tecnologica,Tração
Brota Company,RJ,RIO DE JANEIRO,Agronegócio,B2C,Hardware,2020,11-20,sbase.me/s/brota-company,Tração
Teusonho.org,RJ,SÃO JOÃO DE MERITI,Saúde e Bem-estar,B2B,API,2020,6-10,sbase.me/s/teusonho-org,Operação
Flori Tech,RJ,RIO DE JANEIRO,Meio Ambiente,B2B,Outros,2019,1-5,sbase.me/s/flori-tech,Operação
Payprev,RJ,NITERÓI,Finanças,B2C,Consumer,2017,1-5,sbase.me/s/payprev,Tração
Appraia,RJ,RIO DE JANEIRO,Produtos de Consumo,B2C,Consumer,2019,1-5,sbase.me/s/appraia,Ideação
Receita Digital,RJ,RIO DE JANEIRO,Saúde e Bem-estar,B2B,SaaS,2019,11-20,sbase.me/s/receita-digital,Operação
Soluções4web,RJ,NITERÓI,Internet,B2B2C,SaaS,2010,1-5,sbase.me/s/solucoes4web,Ideação
Super Revendedores,RJ,RIO DE JANEIRO,Vendas e Marketing,B2B2C,Marketplace,2016,6-10,sbase.me/s/super-revendedores,Tração
Remedin,RJ,VOLTA REDONDA,Saúde e Bem-estar,B2B2C,Marketplace,2017,6-10,sbase.me/s/remedin,Operação
MSA Recursos Humanos,RJ,RIO DE JANEIRO,Recursos Humanos,B2B,SaaS,1993,21-50,sbase.me/s/msa-recursos-humanos,Tração
Agilliza,RJ,RIO DE JANEIRO,Mobile,B2B2C,Outros,2020,6-10,sbase.me/s/agilliza-1589855553249,Operação
Hrestart,RJ,RIO DE JANEIRO,Recursos Humanos,B2B,SaaS,2018,6-10,sbase.me/s/hrestart-1580837005418,Tração
Moki,RJ,RIO DE JANEIRO,Mobile,B2B,SaaS,2007,21-50,sbase.me/s/moki,Tração
W.Dental,RJ,RIO DE JANEIRO,Saúde e Bem-estar,B2C,Consumer,2020,N/D,sbase.me/s/w-dental,Tração
dheka,RJ,RIO DE JANEIRO,TIC e Telecom,B2B,Outros,2003,1-5,sbase.me/s/dheka,Operação
Rizer,RJ,MACAÉ,Desenvolvimento de Software,B2B2C,SaaS,2015,6-10,sbase.me/s/rizer,Tração
Instalacão Express (IEX),RJ,MACAÉ,Serviços Profissionais,B2B2C,Consumer,2017,1-5,sbase.me/s/instalacao-express-iex-,Tração
Braxcard Benefícios Corportativos,RJ,VOLTA REDONDA,Finanças,B2B,Outros,2016,6-10,sbase.me/s/braxcard-beneficios-corportativos,Tração
Reis Healthtech,RJ,RIO DE JANEIRO,Desenvolvimento de Software,B2B2C,SaaS,2019,1-5,sbase.me/s/reis-healthtech,Ideação
GovCheck,RJ,MACAÉ,Gestão,B2G,SaaS,2011,11-20,sbase.me/s/govcheck,Tração
papelada,RJ,NITERÓI,Finanças,B2B2C,Outros,2016,6-10,sbase.me/s/papelada,Tração
Food Freedom,RJ,RIO DE JANEIRO,Saúde e Bem-estar,B2B2C,Marketplace,2017,1-5,sbase.me/s/food-freedom-1573075788579,Ideação
LMS Estúdio,RJ,RIO DE JANEIRO,Educação,B2B,SaaS,2017,6-10,sbase.me/s/lms-estudio,Operação
Genesis Training,RJ,MARICÁ,Esportes,B2B2C,SaaS,(Não informado),6-10,sbase.me/s/genesis-training-1566918777180,Tração
LMGB Apoio & Consultoria,RJ,CAMPOS DOS GOYTACAZES,Direito,B2B,Outros,2018,6-10,sbase.me/s/lmgb-apoio-consultoria,Operação
Domfy,RJ,RIO DE JANEIRO,Internet,B2B2C,SaaS,2019,1-5,sbase.me/s/domfy,Ideação
Supx,RJ,RIO DAS OSTRAS,Saúde e Bem-estar,B2B2C,Marketplace,(Não informado),6-10,sbase.me/s/supx,Operação
Geek Imóveis,RJ,RIO DE JANEIRO,Imobiliário,B2C,SaaS,2017,1-5,sbase.me/s/geek-imoveis,Ideação
QPREÇO,RJ,RESENDE,Mobile,B2B,Outros,2017,6-10,sbase.me/s/qpreco,Operação
UCHOAROCHA Treinamento e Desenvolvimento,RJ,RIO DE JANEIRO,Vendas e Marketing,B2B2C,Marketplace,2018,6-10,sbase.me/s/uchoarocha-treinamento-e-desenvolvimento,Tração
Previsiown,RJ,RIO DE JANEIRO,Automobilismo,B2B,SaaS,2018,11-20,sbase.me/s/previsiown,Operação
GoMed.Digital,RJ,NITERÓI,Saúde e Bem-estar,S/N,S/N,(Não informado),6-10,sbase.me/s/gomeddigital,Tração
Mazinha Moda Íntima,RJ,RIO DE JANEIRO,Moda e Beleza,B2C,Outros,2001,6-10,sbase.me/s/mazinha-moda-intima,Operação
Cuida Mais,RJ,RIO DE JANEIRO,Saúde e Bem-estar,B2B2C,Marketplace,2016,6-10,sbase.me/s/cuida-mais,Operação
Startups to Watch,RJ,RIO DE JANEIRO,TIC e Telecom,B2B,Outros,2017,6-10,sbase.me/s/startups-to-watch,Operação
Flow,RJ,RIO DE JANEIRO,Saúde e Bem-estar,B2C,E-commerce,2016,6-10,sbase.me/s/flow-2,Tração
Tero,RJ,RIO DE JANEIRO,Esportes,B2C,Marketplace,2018,6-10,sbase.me/s/tero,Tração
"Nvestor - Pesquise, Compare e Escolha a startup para investir!",RJ,RIO DE JANEIRO,Advertising,B2B,Marketplace,2018,1-5,"sbase.me/s/nvestor-pesquise,-compare-e-escolha-a-startup-para-investir",Ideação
YourBase,RJ,RIO DE JANEIRO,Direito,B2B,SaaS,2018,6-10,sbase.me/s/yourbase,Operação
Upgradio,RJ,VOLTA REDONDA,Recursos Humanos,B2B,Outros,2017,6-10,sbase.me/s/upgradio,Tração
Pedro Camargo Advocacia,RJ,RIO DE JANEIRO,Direito,B2S,Outros,2017,6-10,sbase.me/s/pedro-camargo-advocacia,Operação
Kadima Inteligência Artificial Ltda.,RJ,SÃO GONÇALO,TIC e Telecom,B2B2C,SaaS,(Não informado),1-5,sbase.me/s/kadima-inteligencia-artificial-ltda,Ideação
TILT,RJ,RIO DE JANEIRO,Eventos e Turismo,B2B,SaaS,(Não informado),6-10,sbase.me/s/tilt,Tração
Webcinco LTDA,RJ,RIO DE JANEIRO,TIC e Telecom,B2B2C,Outros,(Não informado),6-10,sbase.me/s/webcinco-ltda,Tração
ConexãoDev,RJ,RIO DE JANEIRO,TIC e Telecom,B2B2C,Outros,(Não informado),6-10,sbase.me/s/conexaodev,Tração
Myth Consulting,RJ,RIO DE JANEIRO,Serviços Profissionais,B2B,Consumer,(Não informado),6-10,sbase.me/s/myth-consulting,Tração
Garimpo,RJ,RIO DE JANEIRO,Recursos Humanos,B2B,Consumer,(Não informado),6-10,sbase.me/s/garimpo,Operação
RICARDO MAURO PORTO SILVA,RJ,RIO DE JANEIRO,Outros,B2B2C,SaaS,(Não informado),6-10,sbase.me/s/ricardo-mauro-porto-silva,Operação
Mega Agenda,RJ,NILÓPOLIS,Saúde e Bem-estar,B2B2C,SaaS,(Não informado),6-10,sbase.me/s/mega-agenda,Tração
FindResolution - Gestão Estratégica de Conflitos,RJ,RIO DE JANEIRO,Direito,B2B2C,Consumer,(Não informado),6-10,sbase.me/s/findresolution-gestao-estrategica-de-conflitos,Operação
ATIVITEC CONSULTORIA E SUPORTE EM TI,RJ,SAQUAREMA,Outros,B2B,SaaS,(Não informado),6-10,sbase.me/s/ativitec-consultoria-e-suporte-em-ti,Operação
Snapimov,RJ,RIO DE JANEIRO,Imobiliário,B2B,SaaS,(Não informado),6-10,sbase.me/s/snapimov,Tração
RECYCARD ADMINISTRADORA DE CARTÕES S.A,RJ,RIO DE JANEIRO,Finanças,B2B,Outros,(Não informado),6-10,sbase.me/s/recycard-administradora-de-cartoes-sa,Operação
RUPEE TECNOLOGIA LTDA - EPP,RJ,RIO DE JANEIRO,Finanças,B2B,SaaS,(Não informado),6-10,sbase.me/s/rupee-tecnologia-ltda-epp,Tração
Aditum.co,RJ,RIO DE JANEIRO,Finanças,B2B2C,SaaS,(Não informado),6-10,sbase.me/s/aditumco,Tração
Liveli,RJ,RIO DE JANEIRO,Entretenimento,B2C,E-commerce,(Não informado),6-10,sbase.me/s/liveli,Tração
BISOUX,RJ,NITERÓI,Varejo / Atacado,B2B2C,E-commerce,(Não informado),6-10,sbase.me/s/bisoux,Tração
Cmov - Construindo Carreiras,RJ,PETRÓPOLIS,Educação,B2B2C,Consumer,(Não informado),6-10,sbase.me/s/cmov-construindo-carreiras,Tração
Mapra,RJ,RIO DE JANEIRO,Educação,B2B,SaaS,(Não informado),6-10,sbase.me/s/mapra,Operação
MentorApp Inovação e Tecnologias Educacionais,RJ,RIO DE JANEIRO,Educação,B2B,SaaS,(Não informado),6-10,sbase.me/s/mentorapp-inovacao-e-tecnologias-educacionais,Tração
Gizbranco,RJ,NITERÓI,Educação,B2B,SaaS,(Não informado),6-10,sbase.me/s/gizbranco,Tração
TaqTaq,RJ,RIO DE JANEIRO,Varejo / Atacado,B2B2C,SaaS,(Não informado),6-10,sbase.me/s/taqtaq,Operação
WinMoney Fidelidade,RJ,RIO DE JANEIRO,Varejo / Atacado,B2B2C,Marketplace,(Não informado),6-10,sbase.me/s/winmoney-fidelidade,Tração
NEAR2 SOLUÇÕES LTDA.,RJ,RIO DE JANEIRO,Varejo / Atacado,B2B2C,Hardware,(Não informado),6-10,sbase.me/s/near2-solucoes-ltda,Tração
Botfy,RJ,RIO DE JANEIRO,Automobilismo,B2B,Hardware,(Não informado),6-10,sbase.me/s/botfy,Tração
Vepet,RJ,NITERÓI,Biotecnologia,S/N,SaaS,(Não informado),6-10,sbase.me/s/vepet,Operação
Unus Market,RJ,RIO DE JANEIRO,Varejo / Atacado,B2B2C,SaaS,(Não informado),6-10,sbase.me/s/unus-market,Tração
Permutando.com,RJ,RIO DE JANEIRO,Construção Civil,B2B,SaaS,(Não informado),6-10,sbase.me/s/permutandocom,Tração
BusTime,RJ,RIO DE JANEIRO,Logística e Mobilidade Urbana,S/N,SaaS,(Não informado),1-5,sbase.me/s/bustime,Ideação
DfD - Dinho Fonseca Design,RJ,RIO DE JANEIRO,Outros,B2B2C,E-commerce,(Não informado),6-10,sbase.me/s/dfd-dinho-fonseca-design,Tração
Mundo Livres,RJ,RIO DE JANEIRO,Agronegócio,B2B2C,Marketplace,(Não informado),6-10,sbase.me/s/mundo-livres,Tração
RFID TECHNOLOGIES,RJ,RIO DE JANEIRO,Agronegócio,B2B,SaaS,(Não informado),6-10,sbase.me/s/rfid-technologies,Tração
CyberLabs,RJ,RIO DE JANEIRO,Varejo / Atacado,B2B,S/N,(Não informado),6-10,sbase.me/s/cyberlabs,Tração
MarketCheck,RJ,RIO DE JANEIRO,Varejo / Atacado,B2B2C,S/N,(Não informado),1-5,sbase.me/s/marketcheck,Ideação
Ambidados Serviços e Inovações LTDA,RJ,RIO DE JANEIRO,Agronegócio,S/N,S/N,(Não informado),6-10,sbase.me/s/ambidados-servicos-e-inovacoes-ltda,Tração
Pedala - Entregas Sustentáveis,RJ,RIO DE JANEIRO,Logística e Mobilidade Urbana,B2B,Marketplace,2014,6-10,sbase.me/s/pedala-entregas-sustentaveis,Tração
Clubinho de Ofertas,RJ,RIO DE JANEIRO,Entretenimento,B2B2C,Marketplace,(Não informado),6-10,sbase.me/s/clubinho-de-ofertas,Tração
Presente Solidário,RJ,RIO DE JANEIRO,E-commerce,B2C,E-commerce,2018,1-5,sbase.me/s/presente-solidario,Ideação
Estrela Express,RJ,RIO DE JANEIRO,Transportes,B2B,E-commerce,2015,1-5,sbase.me/s/estrela-express,Ideação
Fotoria,RJ,RIO DE JANEIRO,Serviços Profissionais,B2C,E-commerce,2018,6-10,sbase.me/s/fotoria,Operação
Universidados,RJ,RIO DE JANEIRO,Educação,B2B,Venda de dados,2017,1-5,sbase.me/s/universidados,Ideação
Condofy Administradora Digital,RJ,RIO DE JANEIRO,Imobiliário,B2B2C,Consumer,2018,6-10,sbase.me/s/condofy-administradora-digital,Tração
Mawon,RJ,BARRA DO PIRAÍ,Serviços Profissionais,B2C,Outros,2017,6-10,sbase.me/s/mawon,Operação
Polen - Solução e Valoração de Resíduos,RJ,RIO DE JANEIRO,Meio Ambiente,B2B,Marketplace,2017,21-50,sbase.me/s/polen-solucao-e-valoracao-de-residuos,Tração
Toca Logo,RJ,RIO DE JANEIRO,Eventos e Turismo,B2B2C,Marketplace,2017,6-10,sbase.me/s/toca-logo,Operação
Polimex: Soluções em Biopolímeros,RJ,RIO DE JANEIRO,Indústria,B2B,Outros,2018,1-5,sbase.me/s/polimex-solucoes-em-biopolimeros,Ideação
Interagente,RJ,RIO DE JANEIRO,TIC e Telecom,B2B,SaaS,2001,1-5,sbase.me/s/interagente,Ideação
Colab55,RJ,RIO DE JANEIRO,E-commerce,B2C,E-commerce,2014,6-10,sbase.me/s/colab55,Tração
Redevip,RJ,DUQUE DE CAXIAS,Varejo / Atacado,B2B,Outros,2017,21-50,sbase.me/s/redevip,Tração
ContAí,RJ,RIO DE JANEIRO,Finanças,B2B2C,Outros,2017,6-10,sbase.me/s/contai,Operação
Conecta Voos,RJ,RIO DE JANEIRO,Internet,B2C,S/N,2016,6-10,sbase.me/s/conecta-voos,Tração
ParetoGroup,RJ,RIO DE JANEIRO,Big Data,B2B,SaaS,2015,6-10,sbase.me/s/paretogroup,Tração
Actio Lab,RJ,RIO DE JANEIRO,Comunicação e Mídia,B2C,S/N,2014,1-5,sbase.me/s/actio-lab,Ideação
Guepardo Sistemas,RJ,RIO DE JANEIRO,Saúde e Bem-estar,S/N,Outros,2015,1-5,sbase.me/s/guepardo-sistemas,Ideação
CRIO,RJ,RIO DE JANEIRO,Internet,S/N,S/N,2014,6-10,sbase.me/s/crio,Tração
DESO,RJ,RIO DE JANEIRO,Outros,B2C,S/N,2014,6-10,sbase.me/s/deso,Tração
DeltaThinkers,RJ,RIO DE JANEIRO,Hardware,S/N,S/N,2013,6-10,sbase.me/s/deltathinkers,Operação
Tripoli Sistemas,RJ,RIO DE JANEIRO,Outros,B2C,E-commerce,2015,1-5,sbase.me/s/tripoli-sistemas,Ideação
TAMBORO,RJ,RIO DE JANEIRO,Educação,B2C,SaaS,2010,11-20,sbase.me/s/tamboro,Operação
Bybrand,RJ,RIO DE JANEIRO,Vendas e Marketing,B2B,SaaS,2017,6-10,sbase.me/s/bybrand,Tração
vempro.club,RJ,RIO DE JANEIRO,Comunicação e Mídia,S/N,S/N,2015,6-10,sbase.me/s/vemproclub,Tração
easySubsea,RJ,RIO DE JANEIRO,Outros,B2B,Outros,2014,6-10,sbase.me/s/easysubsea,Tração
Leafmotion,RJ,RIO DE JANEIRO,Eventos e Turismo,S/N,Outros,(Não informado),6-10,sbase.me/s/leafmotion,Tração
SplitPlay.com,RJ,SÃO GONÇALO,Games,S/N,Marketplace,2012,6-10,sbase.me/s/splitplaycom,Tração
Cuponeria,RJ,RIO DE JANEIRO,Advertising,B2B2C,Marketplace,(Não informado),6-10,sbase.me/s/cuponeria,Tração
Cia de Compras,RJ,RIO DE JANEIRO,E-commerce,B2C,Marketplace,2014,6-10,sbase.me/s/cia-de-compras,Tração
Inbox Monitor 360,RJ,RIO DE JANEIRO,Outros,B2B,SaaS,2015,6-10,sbase.me/s/inbox-monitor-360,Tração
PetRoomie,RJ,RIO DE JANEIRO,Outros,B2C,Marketplace,2014,6-10,sbase.me/s/petroomie,Tração
Easy Emprego,RJ,RIO DE JANEIRO,Internet,S/N,E-commerce,2014,6-10,sbase.me/s/easy-emprego,Operação
"Hanewald, Natividade & Sichel - Consultoria Jurídica",RJ,RIO DE JANEIRO,Direito,B2B2C,Outros,2017,6-10,"sbase.me/s/hanewald,-natividade-and-sichel-consultoria-juridica",Tração
Max Temporada,RJ,RIO DE JANEIRO,Advertising,B2C,Marketplace,2018,6-10,sbase.me/s/max-temporada,Operação
Barkus Educacional,RJ,RIO DE JANEIRO,Educação,B2B2C,Consumer,2016,6-10,sbase.me/s/barkus-educacional,Operação
iMed,RJ,RIO DE JANEIRO,Saúde e Bem-estar,B2C,Marketplace,2018,6-10,sbase.me/s/imed,Tração
Tek Ideia,RJ,RIO DE JANEIRO,Comunicação e Mídia,B2C,Outros,2017,6-10,sbase.me/s/tek-ideia,Operação
Aditum,RJ,RIO DE JANEIRO,Big Data,B2B,Licenciamento,2001,6-10,sbase.me/s/aditum,Operação
Legalcloud,RJ,RIO DE JANEIRO,Direito,B2B2C,SaaS,2016,6-10,sbase.me/s/legalcloud,Tração
Rupee,RJ,DUQUE DE CAXIAS,Finanças,B2B,SaaS,2017,6-10,sbase.me/s/rupee,Tração
Witseed,RJ,MACAÉ,Educação,B2B,Licenciamento,2017,21-50,sbase.me/s/witseed,Tração
The Box Comunicação Visual,RJ,RIO DE JANEIRO,Serviços Profissionais,B2B2C,Hardware,2010,1-5,sbase.me/s/the-box-comunicacao-visual,Ideação
American Insight,RJ,RIO DE JANEIRO,Educação,B2C,SaaS,2017,21-50,sbase.me/s/american-insight,Tração
FIRJAN,RJ,RIO DE JANEIRO,Indústria,B2B,Outros,2015,6-10,sbase.me/s/firjan,Operação
Jovens Gênios,RJ,RIO DE JANEIRO,Educação,B2B2C,SaaS,2017,6-10,sbase.me/s/jovens-genios,Operação
Cavalcante Advogados,RJ,RIO DE JANEIRO,Direito,B2B2C,Consumer,2007,1-5,sbase.me/s/cavalcante-advogados,Ideação
Agência trustme,RJ,RIO DE JANEIRO,Comunicação e Mídia,B2B,Outros,2015,6-10,sbase.me/s/agencia-trustme,Tração
ALIGER A EMPRESA DE INTELIGÊNCIA DAS COISAS,RJ,RIO DE JANEIRO,Indústria,B2B,Hardware,2018,21-50,sbase.me/s/aliger-a-empresa-de-inteligencia-das-coisas,Tração
D'Gitais,RJ,NITERÓI,Internet,B2B,Outros,2016,6-10,sbase.me/s/dgitais,Tração
Beyonder.ME,RJ,RIO DE JANEIRO,Eventos e Turismo,B2C,Marketplace,2016,6-10,sbase.me/s/beyonderme,Operação
Hyper AR,RJ,RIO DE JANEIRO,Comunicação e Mídia,B2B,Consumer,2017,6-10,sbase.me/s/hyper-ar,Operação
BCOG - Cognitive Solutions,RJ,RIO DE JANEIRO,Cloud Computing,B2C,SaaS,2016,1-5,sbase.me/s/bcog-cognitive-solutions,Ideação
Farol,RJ,NITERÓI,Serviços Profissionais,B2B2C,Hardware,2017,6-10,sbase.me/s/farol,Operação
DRONE INSPECTOR TECHNOLOGIES,RJ,RIO DE JANEIRO,Serviços Profissionais,B2B,Venda de dados,2017,6-10,sbase.me/s/drone-inspector-technologies,Operação
ComproeAjudo,RJ,RIO DE JANEIRO,Vendas e Marketing,B2B2C,Marketplace,2017,6-10,sbase.me/s/comproeajudo,Tração
OnTheSpot,RJ,RIO DE JANEIRO,Vendas e Marketing,B2B,Consumer,(Não informado),1-5,sbase.me/s/onthespot,Ideação
Milestone Digital,RJ,PETRÓPOLIS,Big Data,B2B2C,SaaS,(Não informado),6-10,sbase.me/s/milestone-digital,Operação
Ficou Pequeno,RJ,RIO DE JANEIRO,Infantil,P2P,Marketplace,2013,6-10,sbase.me/s/ficou-pequeno,Tração
Maxisite.net,RJ,BARRA DO PIRAÍ,Internet,B2B,Consumer,2007,11-20,sbase.me/s/maxisitenet,Ideação
Cartão Umclub,RJ,RIO DE JANEIRO,Finanças,B2B2C,Consumer,2016,6-10,sbase.me/s/cartao-umclub,Operação
DeliveryOn,RJ,TERESÓPOLIS,Produtos de Consumo,B2B2C,Marketplace,2017,6-10,sbase.me/s/deliveryon,Operação
Tonkir,RJ,VOLTA REDONDA,Imobiliário,B2B2C,Marketplace,2017,6-10,sbase.me/s/tonkir,Operação
ComSensual,RJ,RIO DE JANEIRO,Moda e Beleza,B2C,E-commerce,2015,1-5,sbase.me/s/comsensual,Ideação
Compras do Bem,RJ,RIO DE JANEIRO,Vendas e Marketing,B2B2C,Consumer,(Não informado),6-10,sbase.me/s/compras-do-bem,Operação
PHYGITALL,RJ,BARRA MANSA,TIC e Telecom,B2B,Hardware,2015,6-10,sbase.me/s/phygitall,Operação
Saude na Nuvem,RJ,RIO DE JANEIRO,Saúde e Bem-estar,B2C,SaaS,2015,6-10,sbase.me/s/saude-na-nuvem,Tração
Banco Maré,RJ,RIO DE JANEIRO,Finanças,B2C,Consumer,2016,11-20,sbase.me/s/banco-mare,Operação
GreenAnt,RJ,RIO DE JANEIRO,Energia,B2B,Hardware,(Não informado),6-10,sbase.me/s/greenant,Tração
Services 4 You,RJ,RIO DE JANEIRO,Mobile,B2B2C,SaaS,2017,6-10,sbase.me/s/services-4-you,Operação
3e60 Soluções Imersivas,RJ,RIO DE JANEIRO,Vendas e Marketing,B2B,SaaS,2017,6-10,sbase.me/s/3e60-solucoes-imersivas,Operação
Kwan Capital,RJ,RIO DE JANEIRO,Finanças,B2B,Outros,(Não informado),6-10,sbase.me/s/kwan-capital,Tração
My Baby Outlet,RJ,RIO DE JANEIRO,E-commerce,B2B2C,Marketplace,2016,6-10,sbase.me/s/my-baby-outlet,Operação
Thrust,RJ,RIO DE JANEIRO,Big Data,B2B,SaaS,2013,6-10,sbase.me/s/thrust,Operação
